ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000096203	Gm20919	NE	NE	NE	NE	NE	NE
ENSMUSG00000096204	Taar8c	NE	NE	NE	NE	NE	LE
ENSMUSG00000096205	Gm22068	NE	HE	HE	UND	HE	UND
ENSMUSG00000096206	Gm22317	NE	UND	NE	NE	LE	LE
ENSMUSG00000096207	Gm20904	NE	NE	NE	NE	NE	NE
ENSMUSG00000096208	Gm22070	NE	NE	NE	NE	NE	NE
ENSMUSG00000096209	Olfr510	NE	NE	NE	NE	NE	NE
ENSMUSG00000096210	H1f0	HE	HE	HE	HE	HE	HE
ENSMUSG00000096211	Gm23330	NE	UND	NE	NE	UND	NE
ENSMUSG00000096212	Gm23739	NE	NE	NE	NE	LE	NE
ENSMUSG00000096213	Gm15088	NE	NE	NE	NE	NE	NE
ENSMUSG00000096214	Gm22634	NE	UND	NE	NE	NE	NE
ENSMUSG00000096215	Gm5480	NE	NE	NE	NE	LE	LE
ENSMUSG00000096216	Gm21959	NE	UND	LE	LE	UND	LE
ENSMUSG00000096217	Gm4904	NE	LE	NE	LE	LE	NE
ENSMUSG00000096218	Gm2916	NE	NE	NE	NE	NE	LE
ENSMUSG00000096219	n-R5s93	NE	NE	NE	NE	LE	NE
ENSMUSG00000096220	Olfr775	NE	NE	NE	NE	NE	NE
ENSMUSG00000096221	1500002C15Rik	UND	UND	UND	UND	UND	UND
ENSMUSG00000096222	Gm25412	NE	UND	NE	NE	UND	NE
ENSMUSG00000096223	Gm21874	NE	LE	NE	NE	NE	NE
ENSMUSG00000096225	Lhx8	NE	LE	NE	NE	NE	NE
ENSMUSG00000096226	Gm20880	NE	NE	NE	NE	NE	NE
ENSMUSG00000096227	Gm20815	NE	NE	NE	NE	NE	NE
ENSMUSG00000096228	Olfr5	NE	NE	NE	NE	NE	NE
ENSMUSG00000096229	Olfr774	NE	NE	LE	NE	NE	NE
